GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Sample Count,Estimated Population,Average SE Gross Earnings,Average SE Expenses,Average SE Income Before Tax,Average Emp Gross Earnings,Average Emp Expenses,Average Emp Income Before Tax,Average Tot Gross Earnings,Average Tot Expenses,Average Tot Income Before Tax,EER,Income Before Tax Standard Error,Median Income Before Tax,Average Total Expenses,Average Office and General Business,Average Premises,Average Employee,Average Car and Travel,Average Interest,Average Other,Average Net Capital Allowances,%Zero Office and General Business,%Zero Premises,%Zero Employee,%Zero Car and Travel,%Zero Interest,%Zero Other,%Zero Net Capital Allowances,Count_of_GPs,Percentage_of_GPs_%,Cumulative_Percentage_of_GPs_%,GE Median,GE Q1,GE Q3,GE D1,GE D9,TE Median,IBT Q1,IBT Q3,IBT D1,IBT D9
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,600,1300,22100,10800,11300,61200,1000,60200,83300,11800,71500,,972,66300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,1350,2900,22000,9100,12900,60900,1000,59900,83000,10100,72900,,705,68500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,1100,2350,19800,9700,10100,59100,1000,58100,78900,10700,68200,,738,62600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,800,1700,21100,11700,9400,60300,900,59400,81400,12600,68800,,765,64400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,700,1550,17800,8000,9900,59200,900,58200,77000,8900,68100,,827,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,1000,2050,18300,8400,9900,59500,1000,58500,77900,9400,68400,,748,63100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,800,1650,18400,9500,8900,56700,900,55900,75200,10400,64800,,777,60800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,1000,2100,20900,11000,9900,59500,1000,58400,80400,12100,68300,,725,64100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,5400,11350,19900,9300,10600,59700,900,58700,79600,10200,69400,,320,64200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,2650,6500,22100,10700,11400,57100,800,56400,79200,11500,67800,,438,64400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,>=40<50,All,All,All,All,,,,,2200,4200,20700,10400,10300,61400,1100,60300,82000,11500,70600,,482,63900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,>=50<60,All,All,All,All,,,,,1150,2050,13800,5100,8700,65200,1200,64000,79000,6200,72800,,716,65600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,>=60,All,All,All,All,,,,,400,700,16100,6700,9400,55900,1200,54700,71900,7900,64100,,1393,54300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Male,All,All,All,All,All,,,,,1900,3700,30600,14900,15700,69000,900,68100,99600,15800,83800,,641,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Male,<40,All,All,All,All,,,,,850,1750,36500,18200,18300,65000,700,64300,101500,18900,82600,,892,79100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Male,>=40<50,All,All,All,All,,,,,500,950,29800,14300,15500,74700,1200,73600,104500,15500,89000,,1244,84700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Male,>=50<60,All,All,All,All,,,,,350,600,19700,8900,10800,77800,1100,76700,97500,10000,87500,,1663,82500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Male,>=60,All,All,All,All,,,,,200,400,22300,10700,11600,60200,1100,59100,82500,11800,70700,,2182,57200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Female,All,All,All,All,All,,,,,4450,9750,16100,7500,8600,56100,1000,55100,72200,8500,63700,,316,60300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Female,<40,All,All,All,All,,,,,1800,4750,16700,7900,8800,54200,800,53400,70900,8700,62200,,495,60500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Female,>=40<50,All,All,All,All,,,,,1650,3250,18100,9300,8800,57600,1100,56500,75600,10300,65300,,501,60200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Female,>=50<60,All,All,All,All,,,,,850,1450,11300,3500,7900,60000,1200,58800,71300,4700,66600,,721,61900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,Female,>=60,All,All,All,All,,,,,150,300,8000,1500,6500,50300,1300,49000,58300,2800,55500,,1424,51100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,All,All,,,,,250,500,9500,3200,6300,66600,1300,65300,76000,4500,71500,,1757,61700,,,,,,,,,,,,,,,,,,,64200,50500,92000,36400,121300,1800,48900,87100,34700,116200
Salaried,GPMS,Wales,All,All,All,All,All,All,All,,,,"0 - 25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,3,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,All,All,,,,"25,000 - 50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,25.6,28.6,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,All,All,,,,"50,000 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,38.3,66.9,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,All,All,,,,"75,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,33.1,100,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,"Fewer than 5,000",All,,,,,50,50,5400,700,4700,65500,1300,64200,70900,2000,68900,,3693,70700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,150,250,10100,3700,6300,65000,1400,63600,75000,5100,69900,,2205,60300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,50,100,8800,1500,7300,71300,1300,70000,80100,2800,77300,,4239,65100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,50,100,11800,5400,6500,69300,1200,68100,81100,6600,74500,,5688,65100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,Rural,All,All,All,,,,,50,150,11200,4600,6600,71700,1600,70100,82900,6200,76700,,3153,73900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,All,Urban,All,All,All,,,,,200,400,8900,2700,6200,64800,1200,63600,73700,3900,69800,,2072,58900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,<40,All,All,All,All,,,,,100,250,12300,3700,8600,59900,1200,58800,72200,4900,67300,,2354,60400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,>=40<50,All,All,All,All,,,,,100,150,6600,2900,3800,72200,1500,70800,78900,4400,74500,,3055,61700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,>=50<60,All,All,All,All,,,,,50,50,7100,2800,4400,80400,1500,78900,87500,4200,83300,,5735,65800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,All,>=60,All,All,All,All,,,,,50,50,,900,,61400,1300,60000,65700,2300,63500,,5283,54200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Male,All,All,All,All,All,,,,,50,100,15100,3100,12000,84600,1500,83100,99700,4600,95100,,3584,88000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Male,<40,All,All,All,All,,,,,50,50,22400,4700,17700,82700,1300,81400,105100,6100,99100,,4232,96500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Male,>=40<50,All,All,All,All,,,,,50,50,,1600,,112000,2300,109700,121200,3900,117300,,11120,109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Male,>=50<60,All,All,All,All,,,,,50,50,,,,88500,1600,87000,92800,2200,90600,,7174,78800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Female,All,All,All,All,All,,,,,200,400,7800,3200,4500,61100,1200,59800,68800,4500,64400,,1833,56800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Female,<40,All,All,All,All,,,,,50,200,9100,3400,5700,52700,1100,51600,61800,4500,57300,,2306,54700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Female,>=40<50,All,All,All,All,,,,,50,150,6200,3100,3100,65800,1400,64400,72000,4400,67500,,2653,57900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Wales,All,Female,>=50<60,All,All,All,All,,,,,50,50,8200,3500,4600,77400,1400,76000,85600,5000,80600,,7361,62500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,All,All,,,,,350,800,14600,5000,9600,66200,1100,65100,80800,6100,74700,,1246,69700,,,,,,,,,,,,,,,,,,,71200,55300,98700,40400,126400,1800,51900,91900,39400,115300
Salaried,GPMS,Scotland,All,All,All,All,All,All,All,,,,"0 - 50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,22.8,22.8,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,All,All,,,,"50,000 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,36.1,58.9,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,All,All,,,,"75,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,41,99.9,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,"Fewer than 5,000",All,,,,,50,150,17600,6800,10800,66600,1000,65700,84200,7800,76500,,2969,69900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,200,400,14400,4900,9500,63800,900,62800,78200,5800,72300,,1613,69700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,50,150,16500,5200,11300,67700,1300,66500,84300,6500,77700,,3182,69200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,50,50,11900,,6800,69700,1500,68300,81600,6600,75100,,5297,63800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,All,All,"20,000 and over",All,,,,,50,50,5100,500,4600,77600,1500,76100,82700,2000,80700,,5389,80500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,Rural,All,All,All,,,,,200,400,14300,5800,8500,67200,1100,66100,81500,6900,74600,,1683,67900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,All,Urban,All,All,All,,,,,150,400,15000,4300,10700,65200,1100,64200,80200,5300,74900,,1846,71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,<40,All,All,All,All,,,,,200,500,15100,4900,10200,64200,900,63400,79400,5800,73600,,1539,69800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,>=40<50,All,All,All,All,,,,,100,200,17900,6600,11400,63100,1300,61800,81000,7900,73100,,2726,63800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,>=50<60,All,All,All,All,,,,,50,100,8800,3800,5000,77800,1700,76100,86600,5500,81100,,3655,71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,All,>=60,All,All,All,All,,,,,50,50,,,,86300,1300,84900,86300,1300,84900,,6502,69700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Male,All,All,All,All,All,,,,,100,200,19400,7700,11800,81800,1200,80600,101200,8800,92300,,2603,87500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Male,<40,All,All,All,All,,,,,50,100,11800,4100,7800,77100,1100,76000,89000,5200,83800,,2892,80100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Male,>=40<50,All,All,All,All,,,,,50,50,35200,13700,21400,78200,1300,77000,113400,15000,98400,,5730,87500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Male,>=50<60,All,All,All,All,,,,,50,50,23000,,11200,99500,1400,98100,122500,13200,109300,,7580,105900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Female,All,All,All,All,All,,,,,250,650,13200,4300,8900,61700,1100,60700,74900,5300,69600,,1369,65900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Female,<40,All,All,All,All,,,,,150,400,15900,5100,10800,61400,800,60500,77200,5900,71300,,1746,68800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Female,>=40<50,All,All,All,All,,,,,50,150,11000,3700,7300,57000,1300,55700,68000,5000,63000,,2692,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Scotland,All,Female,>=50<60,All,All,All,All,,,,,50,100,4600,1500,3200,71400,1700,69600,76000,3200,72800,,3821,65900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,All,All,All,All,,,,,100,250,11700,4500,7300,57700,1900,55800,69400,6400,63100,,1972,60200,,,,,,,,,,,,,,,,,,,65200,51600,78400,35700,103100,5100,45800,74200,33900,95600
Salaried,GPMS,Northern Ireland,All,All,All,All,All,All,All,,,,"0 - 50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,31.8,31.8,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,All,All,All,All,,,,"50,000 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,46.4,78.2,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,All,All,All,All,,,,"75,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,21.8,100,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,50,100,9800,3400,6400,54800,1400,53400,64700,4900,59800,,3709,61400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,50,150,12700,5200,7500,57800,2200,55600,70500,7400,63100,,2183,60100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,50,50,11600,3600,8100,62900,1600,61300,74500,5200,69300,,7369,62500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,50,50,6200,3300,2900,55100,1400,53700,61300,4700,56600,,2277,55800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,100,200,13600,4800,8800,58600,2100,56500,72300,6900,65300,,2510,61400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,100,200,12700,4900,7800,56500,1800,54700,69200,6700,62500,,1956,61400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,50,50,10400,3500,6900,56100,1800,54300,66500,5300,61200,,6234,50900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,50,50,6900,2400,4500,68800,3400,65400,75600,5700,69900,,10524,46600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,Male,All,All,All,All,All,,,,,50,50,16900,5600,11300,74700,2100,72600,91600,7700,83900,,6225,79700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,Male,<40,All,All,All,All,,,,,50,50,13900,5300,8600,71800,2200,69600,85800,7600,78200,,3935,79700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,Female,All,All,All,All,All,,,,,100,200,10700,4200,6500,54500,1900,52700,65300,6100,59200,,1899,56500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,50,150,12500,4900,7600,53400,1700,51700,65900,6500,59400,,2106,60100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,50,50,5700,2700,3000,51200,2000,49100,56800,4700,52100,,2917,48000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,Northern Ireland,All,Female,>=50<60,All,All,All,All,,,,,50,50,7500,2600,4900,66500,3100,63500,74100,5600,68400,,11484,45200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,All,All,,,,,4350,9100,19800,9100,10700,59400,1000,58400,79200,10100,69200,,360,63900,,,,,,,,,,,,,,,,,,,66300,49600,88800,34600,122800,1700,47800,84200,33000,109200
Salaried,GMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,5.6,5.6,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,22.3,27.9,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3340,36.8,64.7,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,21.3,86,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,All,All,,,,"100,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,13.9,99.9,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,300,600,23300,9100,14200,58500,1100,57400,81800,10200,71600,,1713,63300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,1350,2850,20800,9000,11800,58600,900,57700,79400,10000,69400,,630,64700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,1300,2750,22300,11100,11100,58200,900,57200,80400,12100,68400,,658,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,650,1400,15700,6800,8900,59600,1000,58600,75200,7800,67500,,903,63700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,700,1500,15900,7600,8300,63400,1100,62300,79300,8700,70600,,929,65100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,East of England,All,All,,,,,550,1100,22500,10900,11600,60400,1000,59500,82900,11800,71100,,1058,65800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,London,All,All,,,,,550,1200,21100,7000,14000,60100,900,59200,81200,8000,73200,,1100,71300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,Midlands,All,All,,,,,1000,2100,19900,9800,10100,59100,1000,58100,79000,10800,68200,,782,62600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,400,850,18600,9000,9600,60300,900,59300,78900,9900,69000,,1071,63900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,North West,All,All,,,,,500,1050,19700,8800,10800,58500,1000,57600,78200,9800,68400,,1023,63100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,South East of England,All,All,,,,,900,1850,19000,8900,10100,59400,1000,58400,78400,9900,68500,,786,63400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,All,South West of England,All,All,,,,,450,900,17800,8900,8900,57900,800,57100,75700,9700,66000,,1148,61300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,Rural,All,All,All,,,,,850,1700,20600,10600,10000,59500,1100,58400,80100,11700,68500,,834,63700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,All,Urban,All,All,All,,,,,3500,7350,19600,8700,10900,59400,900,58400,79000,9700,69300,,403,63900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,<40,All,All,All,All,,,,,1800,4350,22100,10500,11600,56800,800,56000,78900,11200,67700,,543,64000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,>=40<50,All,All,All,All,,,,,1500,2850,20800,10200,10500,61700,1100,60500,82400,11400,71100,,604,64100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,>=50<60,All,All,All,All,,,,,800,1400,13400,4000,9300,63900,1100,62700,77300,5200,72100,,884,65400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,All,>=60,All,All,All,All,,,,,250,450,11800,4300,7400,56400,1300,55200,68200,5600,62600,,1623,53600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,Male,All,All,All,All,All,,,,,1350,2550,29200,13500,15700,69200,1000,68300,98400,14400,84000,,778,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,Male,<40,All,All,All,All,,,,,600,1250,35100,16400,18700,64600,700,63800,99600,17100,82500,,1063,79400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,350,650,29300,14000,15300,76400,1300,75200,105700,15200,90400,,1570,85500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,250,400,19400,7900,11500,76100,1100,75100,95600,9000,86600,,2109,81200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,Male,>=60,All,All,All,All,,,,,150,250,16200,6800,9400,63200,1200,62000,79400,8000,71300,,2461,63600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GMS,England,All,Female,All,All,All,All,All,,,,,3000,6550,16200,7400,8800,55500,1000,54600,71700,8400,63400,,388,60100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
